protein_id_new	rep1_m6A_log2OR	rep2_m6A_log2OR
201-RBMS2|Full|407	-5.64385619	-6.64385619
211-RBPMS2|RBD|207	-6.64385619	-5.64385619
109-MEX3B-3|RBD|177	-5.058893689	-6.64385619
107-MEX3B-1|RBD|177	-5.058893689	-4.058893689
HNRNPA2B1|Full|353	-4.058893689	-4.058893689
111-MEX3D-3|RBD|182	-4.058893689	-3.058893689
73-HNRPDL|Full|301	-3.473931188	-3.64385619
126-NOVA2-1|RBD|93	-2.395928676	-4.64385619
119-MTHFSD|RBD|381	-3.64385619	-3.321928095
258-SNRPA|Full|282	-3.321928095	-3.473931188
15-BICC1-2|RBD|87	-2.943416472	-3.836501268
186-RBM34|Full|425	-2.943416472	-3.473931188
69-HNRNPL-2|RBD|500	-2.395928676	-3.836501268
131-PABPC4|Full|631	-3.473931188	-2.836501268
118-MOV10L1|RBD|92	-1.358453971	-3.836501268
6-AKAP1-2|RBD|124	-2.64385619	-2.473931188
77-IGF2BP1-2|RBD|91	-1.59946207	-3.473931188
2-ACIN1-2|RBD|60	-1.473931188	-3.64385619
132-PABPC5|Full|382	-2.556393349	-2.473931188
5-ACO1-3|RBD|880	-0.888968688	-4.058893689
56-G3BP1|Full|466	-3.058893689	-1.64385619
101-LSM5|Full|91	-2.64385619	-2
13-ASCC1|Full|357	-2.64385619	-1.888968688
174-RBM20-3|RBD|59	-3.64385619	-0.915935735
81-KHDRBS3|Full|346	-3.321928095	-0.943416472
129-NUFIP1|Full|276	-1.64385619	-2.64385619
200-RBMS1|Full|406	-2.058893689	-2.120294234
212-RC3H1-2|RBD|461	-2.184424571	-2
80-KHDRBS2|Full|349	-0.971430848	-3.184424571
98-LSM11|RBD|358	-2.120294234	-2
146-PNPT1-3|RBD|87	-2.64385619	-1.473931188
60-GRSF1-2|RBD|144	-2.736965594	-1.358453971
128-NSUN6|Full|469	-1.888968688	-2.184424571
208-RBMY1E-2|RBD|122	-2	-1.943416472
100-LSM4|Full|139	-2	-1.943416472
57-G3BP2|Full|449	-1.785875195	-2
270-SRRT-1|RBD|365	-1.836501268	-1.888968688
59-GRSF1-1|RBD|94	-2.184424571	-1.514573173
102-LSM7|Full|103	-2.836501268	-0.810966176
37-EIF3B-1|RBD|130	-1.184424571	-2.395928676
112-MEX3D-1|RBD|88	-2.251538767	-1.358453971
63-HDLBP-1|RBD|90	-2.251538767	-1.395928676
130-PABPC3|Full|631	-2.184424571	-1.358453971
45-EWSR1|Full|354	-1.217591435	-2.251538767
165-RBM12B|Full|765	-2.836501268	-0.535331733
93-LENG9-1|RBD|192	-0.13606155	-3.184424571
151-POLR2G|RBD|170	-2.556393349	-0.736965594
121-NOL8|RBD|92	-1.64385619	-1.689659879
47-FUBP1-2|RBD|105	-1.029146346	-2.251538767
HNRNPC|Full|293	-1.736965594	-1.434402824
222-SAFB-1|RBD|145	-1.785875195	-1.321928095
179-RBM27-1|RBD|91	-1.59946207	-1.514573173
124-NOVA1-2|RBD|105	-1.434402824	-1.64385619
17-CCAR1-1|RBD|104	-0.915935735	-2.120294234
106-MCTS1|Full|181	-1.736965594	-1.286304185
189-RBM39-3|RBD|190	-1.556393349	-1.473931188
227-SAMD14|RBD|100	-1.473931188	-1.514573173
113-MEX3D-2|RBD|92	-1.251538767	-1.736965594
95-LIN28B|RBD|247	-2.395928676	-0.621488377
323-ZC3H15|Full|426	-1.59946207	-1.321928095
138-PCBP2|Full|362	-1.358453971	-1.473931188
233-SCAF4|RBD|159	-1.514573173	-1.321928095
319-ZC3H11A|Full|810	-1.395928676	-1.395928676
48-FUBP1-3|RBD|178	-0.943416472	-1.836501268
278-SUGP2-1|RBD|265	-1.321928095	-1.434402824
210-RBMY1E-3|RBD|64	-1.434402824	-1.358453971
178-RBM26|Full|61	-1.321928095	-1.434402824
79-KHDRBS1|RBD|142	-0.862496476	-1.888968688
133-PARN|Full|639	-1.029146346	-1.689659879
312-YBX1|RBD|322	-1.358453971	-1.395928676
62-GRSF1-4|RBD|85	-2.395928676	-0.340075442
181-RBM27-3|RBD|695	-1.251538767	-1.434402824
153-PPIL4|Full|192	-1.358453971	-1.321928095
160-RAVER2-1|RBD|86	-2	-0.689659879
99-LSM3|Full|102	-2	-0.64385619
296-TRA2A|Full|282	-1.286304185	-1.358453971
85-KHSRP-4|RBD|57	-1.286304185	-1.321928095
297-TRA2B|RBD|286	-1.434402824	-1.184424571
311-UPF3B-2|RBD|184	-1.286304185	-1.217591435
161-RAVER2-2|RBD|98	-1.836501268	-0.621488377
196-RBM5|Full|546	-1.184424571	-1.286304185
191-RBM42|Full|451	-1.321928095	-1.120294234
1-ACIN1-1|RBD|112	-1.029146346	-1.434402824
122-NONO|Full|340	-1.736965594	-0.689659879
152-PPIE|Full|301	-1.058893689	-1.358453971
175-RBM20-4|RBD|61	-2.736965594	0.310340121
10-ANKHD1|Full|435	-0.152003093	-2.251538767
157-PSPC1|Full|393	-2.058893689	-0.304006187
9-ALYREF|RBD|262	-1.184424571	-1.152003093
257-SNRNP70|RBD|435	-1.058893689	-1.251538767
18-CCAR1-2|RBD|61	-1.058893689	-1.217591435
180-RBM27-2|RBD|102	-1.358453971	-0.915935735
127-NOVA2-2|RBD|105	-2.120294234	-0.13606155
324-ZC3H18|Full|953	-1.152003093	-1.058893689
29-DHX8|Full|1214	-1.089267338	-1.152003093
154-PPRC1|RBD|126	-1.058893689	-1.152003093
